trade_num,timestamp_utc,timestamp_est,track,side,qty,entry_price,sl_price,tp_price,exit_price,duration_sec,gross_pnl,commission,net_pnl,balance,buffer_to_floor,outcome
87,2026-09-04 18:00:20,02:00:20 PM,Track A,SELL,0.1,4416.47,4416.62,4414.47,4416.40,4,0.70,0.70,0.00,5539.16,839.16,BE_PROTECTED
88,2026-09-04 18:07:55,02:07:55 PM,Track A,SELL,0.1,4414.24,4414.39,4412.24,4414.39,7,-1.50,0.70,-2.20,5536.96,836.96,STOP_LOSS
89,2026-09-04 18:10:29,02:10:29 PM,Track A,SELL,0.1,4417.77,4417.92,4415.77,4417.92,1,-1.50,0.70,-2.20,5534.76,834.76,STOP_LOSS
90,2026-09-04 18:19:20,02:19:20 PM,Track A,SELL,0.1,4419.80,4419.95,4417.80,4419.05,98,7.50,0.70,6.80,5541.56,841.56,RATCHET_WIN
91,2026-09-04 18:37:40,02:37:40 PM,Track A,SELL,0.1,4422.46,4422.61,4420.46,4421.71,18,7.50,0.70,6.80,5548.36,848.36,RATCHET_WIN
92,2026-09-04 18:41:57,02:41:57 PM,Track A,SELL,0.1,4422.65,4422.80,4420.65,4422.80,12,-1.50,0.70,-2.20,5546.16,846.16,STOP_LOSS
93,2026-09-04 18:45:41,02:45:41 PM,Track A,SELL,0.1,4422.58,4422.73,4420.58,4422.73,11,-1.50,0.70,-2.20,5543.96,843.96,STOP_LOSS
94,2026-09-04 18:58:30,02:58:30 PM,Track A,SELL,0.1,4424.65,4424.80,4422.65,4423.90,30,7.50,0.70,6.80,5550.76,850.76,RATCHET_WIN
95,2026-09-04 19:00:23,03:00:23 PM,Track A,SELL,0.1,4423.77,4423.92,4421.77,4423.02,35,7.50,0.70,6.80,5557.56,857.56,RATCHET_WIN
96,2026-09-04 19:05:31,03:05:31 PM,Track A,SELL,0.1,4423.47,4423.62,4421.47,4423.62,25,-1.50,0.70,-2.20,5555.36,855.36,STOP_LOSS
97,2026-09-04 19:15:20,03:15:20 PM,Track A,BUY,0.1,4429.76,4429.61,4431.76,4429.61,6,-1.50,0.70,-2.20,5553.16,853.16,STOP_LOSS
